tweet_id	user_id	text	created_at	label	Drug Name Extracted	Drug Name Normalized
46993489828909057	182266659	@AirLewis VITAMIN C AND GARLIC CRUSHING MEOW	2011-03-13 17:58:15	0		
397783574797352960	545313028	Only 3 Arnica Balms left at Clinic Alternative Medicines retail space!! Don't worry I will be restocking soon :) http://t.co/ExWeR2Kvoo	2013-11-05 17:52:49	1	arnica balm	arnica balm
400641718372270080	388247063	Recent research from Holland suggests folic acid reduces the chance of baby having a congenital heart defect by... http://t.co/HMqCcpVk0J	2013-11-13 15:10:03	0		
401583766973734912	1590139340	I'm so burnt and this aloe isn't helping 😡	2013-11-16 05:33:25	0		
404288692514078720	34971386	@kristalcraven sudafed that I'm not sure I'm comfortable taking it. I think if rather be miserable than risk it. Haha	2013-11-23 16:41:50	1	sudafed	sudafed
419988154662535168	206067340	My dr prescribed protein shakes to help me keep my weight up. Who the eff has to take supplements to GAIN weight?!	2014-01-06 00:25:53	1	protein shakes	protein shake
421574264009928705	112408414	One appointment remaining for BOTOX this Monday pm. Call the salon for more details.....New Year New You?? http://t.co/ZT6Ds67mJq	2014-01-10 09:28:31	1	botox	botox
422202081228128256	22925404	when you're sick... puffs with Vicks is the best!!!! finding them in the store is even better! https://t.co/0qH78tDnBr	2014-01-12 03:03:14	0		
423501388380143616	56367933	Made from the inner bark of the Pau D'arco tree, this herb contains an antifungal compound called lapachol and... http://t.co/jPdYXiFQe3	2014-01-15 17:06:13	0		
424374427963625472	1891671350	DIY Vicks shower melts that work! #savemoney Vicks shower melts #DIY WEight loss products here: Easy 2 pills 2x/day http://t.co/2BZVArozFB	2014-01-18 02:55:22	0		
432728319499329538	238009460	@AlYsSa_Lou4 lol that's funny, I literally just ate some tums !! But yes its the worst... I hate when I can't lay down because of it.. 😐	2014-02-10 04:10:45	1	tums	tums
435351052854894592	414073002	Interesting story on the Folic Acid debate...http://t.co/LtSBB2FLJh	2014-02-17 09:52:34	0		
442004440187289601	1911089700	Newbie to #IUI with #Femara would love to hear some encouragement and success stories!http://t.co/4dnhK4EAY2#HelpAGirlOut #GoodKarma	2014-03-07 18:30:45	1	femara	femara
452520176169123840	59183026	My dad just admitted to using rogain xD	2014-04-05 18:56:32	1	rogain	rogaine
458285407411503104	245182795	"My iPhone changed ""Petsmart"" to ""Percocet"".... Hmmmm"	2014-04-21 16:45:30	0		
460049060661956610	442018380	@sambamthnkyamam was just discussing preventative hair loss by rogaine use in your 20s. My opinion? Au natural!	2014-04-26 13:33:38	1	rogaine	rogaine
